epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
85,75.3122,0.59399,0.43118,0.86804,0.98865,1,0.995,0.73601,1.05388,0.42926,1.01426,0.000834822,0.000834822,0.000834822
86,76.1653,0.61266,0.47289,0.87523,0.97388,0.99954,0.995,0.71851,1.05972,0.42674,1.03367,0.000827748,0.000827748,0.000827748
87,77.0446,0.59097,0.43645,0.86961,0.96472,0.97123,0.995,0.7307,1.09065,0.45013,1.05184,0.000820675,0.000820675,0.000820675
88,77.975,0.63394,0.42911,0.87579,0.96953,0.96571,0.995,0.75713,0.9958,0.429,1.01464,0.000813601,0.000813601,0.000813601
89,78.8222,0.60674,0.43139,0.86959,0.95814,0.97985,0.995,0.76401,0.97895,0.41556,1.01013,0.000806528,0.000806528,0.000806528
90,79.7001,0.60998,0.4384,0.87539,0.97142,0.96496,0.995,0.71504,1.0373,0.41888,1.02781,0.000799454,0.000799454,0.000799454
91,80.5815,0.60159,0.44063,0.86568,0.96664,0.97211,0.995,0.72072,1.08669,0.43133,1.057,0.00079238,0.00079238,0.00079238
92,81.4569,0.63952,0.45245,0.896,0.96765,0.99611,0.995,0.71449,1.10341,0.44752,1.04801,0.000785307,0.000785307,0.000785307
93,82.2904,0.58606,0.41899,0.85955,0.97599,1,0.995,0.71961,1.0837,0.44537,1.05315,0.000778233,0.000778233,0.000778233
94,83.17,0.56568,0.40996,0.85833,0.98076,1,0.995,0.72948,1.04279,0.41942,1.04679,0.00077116,0.00077116,0.00077116
95,84.0586,0.56993,0.43109,0.86825,0.97966,1,0.995,0.73645,1.01931,0.40646,1.02222,0.000764086,0.000764086,0.000764086
96,84.9492,0.61177,0.43352,0.86881,0.98173,1,0.995,0.7173,1.11408,0.42451,1.0625,0.000757013,0.000757013,0.000757013
97,85.8236,0.61523,0.43496,0.85607,0.98504,1,0.995,0.68704,1.14263,0.43483,1.08055,0.000749939,0.000749939,0.000749939
98,86.7019,0.58828,0.42863,0.86776,0.9831,1,0.995,0.71088,1.125,0.4116,1.0848,0.000742866,0.000742866,0.000742866
99,87.6013,0.56208,0.42574,0.85568,0.98464,1,0.995,0.7017,1.11911,0.43981,1.07584,0.000735792,0.000735792,0.000735792
100,88.4652,0.54297,0.39577,0.87913,0.98485,1,0.995,0.73453,1.08124,0.42098,1.03401,0.000728719,0.000728719,0.000728719
101,89.3107,0.57948,0.41814,0.8647,0.98531,1,0.995,0.72586,1.10228,0.43647,1.0353,0.000721645,0.000721645,0.000721645
102,90.2416,0.56538,0.40762,0.85821,0.98841,1,0.995,0.69919,1.11552,0.41589,1.04021,0.000714571,0.000714571,0.000714571
103,91.1126,0.55736,0.40644,0.84774,0.98812,1,0.995,0.71232,1.06668,0.39534,1.02625,0.000707498,0.000707498,0.000707498
